,Player_Name,Matches_Played,successful-raids
0,"
                    
                    Rahul Chaudhari
                ",16,110
1,"
                    
                    Deepak Niwas Hooda
                ",16,108
2,"
                    
                    Pardeep Narwal
                ",16,100
3,"
                    
                    Rohit Kumar
                ",14,75
4,"
                    
                    Jasvir Singh
                ",14,64
5,"
                    
                    Anup Kumar
                ",14,60
6,"
                    
                    Kashiling Adake
                ",13,58
7,"
                    
                    Rishank Devadiga
                ",14,57
8,"
                    
                    Rajesh Narwal
                ",16,52
9,"
                    
                    Monu Goyat
                ",13,52
10,"
                    
                    Jang Kun Lee
                ",11,49
11,"
                    
                    Rajesh Mondal
                ",15,47
12,"
                    
                    Nilesh Salunke
                ",15,47
13,"
                    
                    Ajay Kumar
                ",15,44
14,"
                    
                    Nitin Madane
                ",13,43
15,"
                    
                    Meraj Sheykh
                ",14,42
16,"
                    
                    Ajay Thakur
                ",16,41
17,"
                    
                    Rakesh Kumar
                ",14,40
18,"
                    
                    Selvamani K
                ",13,34
19,"
                    
                    Nitin Tomar
                ",12,30
20,"
                    
                    CPO Surjeet Singh
                ",10,27
21,"
                    
                    Sonu Narwal
                ",11,25
22,"
                    
                    Sandeep Narwal
                ",16,20
23,"
                    
                    Manjeet Chhillar
                ",12,20
24,"
                    
                    Shabeer Bappu
                ",12,18
25,"
                    
                    Abolfazl Maghsodloumahali
                ",9,18
26,"
                    
                    Vinod Kumar
                ",9,16
27,"
                    
                    Suresu Kumar
                ",11,15
28,"
                    
                    Pawan Kumar Kadian
                ",9,15
29,"
                    
                    Prashanth Kumar Rai
                ",9,12
30,"
                    
                    Yogesh Hooda
                ",5,12
31,"
                    
                    Tushar Patil
                ",8,11
32,"
                    
                    Ashish Kumar
                ",14,11
33,"
                    
                    K. Prapanjan
                ",11,10
34,"
                    
                    Deepak Narwal
                ",6,8
35,"
                    
                    Pawan Kumar Sehrawat
                ",10,8
36,"
                    
                    Deepak Kumar Dahiya
                ",7,8
37,"
                    
                    Mahipal Narwal
                ",14,8
38,"
                    
                    Ravi Dalal
                ",6,8
39,"
                    
                    Kuldeep Singh
                ",15,7
40,"
                    
                    Vinoth Kumar
                ",3,7
41,"
                    
                    Surender Singh
                ",11,7
42,"
                    
                    Athul MS
                ",4,6
43,"
                    
                    Surjeet Narwal
                ",5,6
44,"
                    
                    Shrikant Jadhav
                ",5,6
45,"
                    
                    Sukesh Hegde
                ",9,5
46,"
                    
                    Sumit Singh
                ",5,5
47,"
                    
                    Vikash Kumar
                ",6,4
48,"
                    
                    Umesh Mhatre
                ",2,4
49,"
                    
                    Ran Singh
                ",16,4
50,"
                    
                    Mahesh Goud
                ",7,4
51,"
                    
                    Gurvinder Singh
                ",6,4
52,"
                    
                    Joginder Singh Narwal
                ",16,3
53,"
                    
                    Surender Nada
                ",13,3
54,"
                    
                    Parmod Narwal
                ",8,3
55,"
                    
                    Amit Om Prakash Rathi
                ",2,3
56,"
                    
                    Vikash Khandola
                ",4,3
57,"
                    
                    Ravindra Ramesh Kumawat
                ",2,2
58,"
                    
                    Dharmaraj Cheralathan
                ",14,2
59,"
                    
                    Mohit Chhillar
                ",14,1
60,"
                    
                    Nilesh Shinde
                ",12,1
61,"
                    
                    Amit Nagar
                ",3,1
62,"
                    
                    Parveen Narwal
                ",1,1
63,"
                    
                    Anil Kumar
                ",9,1
64,"
                    
                    Nitin Kumar
                ",1,1
65,"
                    
                    Sunil Kumar
                ",1,1
66,"
                    
                    Vishal Bhardwaj
                ",2,1
