SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,123,17,24,22,14,14,16,16,bengaluru-bulls
WINS,57,9,15,8,5,2,10,8,bengaluru-bulls
DRAWS,7,0,2,3,1,0,0,1,bengaluru-bulls
LOSSES,59,8,7,11,8,12,6,7,bengaluru-bulls
FINISHING POSITION,0,4,1,4,6,7,3,3,bengaluru-bulls
TOTAL RAIDS,5242,709,1005,943,605,603,730,647,bengaluru-bulls
SUCCESSFUL RAIDS,1779,278,431,336,157,158,194,225,bengaluru-bulls
UNSUCCESSFUL RAID,1224,192,211,195,143,148,163,172,bengaluru-bulls
EMPTY RAIDS,2239,239,363,412,305,297,373,250,bengaluru-bulls
SUCCESS RAID %,0.43,0.5,0.54,0.42,0.33,0.35,0.35,0.45,bengaluru-bulls
NO. OF SUPER RAIDS,62,7,20,5,4,9,10,7,bengaluru-bulls
RAID TOUCH POINTS,1780,264,428,294,147,181,222,244,bengaluru-bulls
RAID BONUS POINTS,464,87,119,99,54,28,30,47,bengaluru-bulls
TOTAL RAID POINTS,2244,351,547,393,201,209,252,291,bengaluru-bulls
TOTAL TACKLES,2689,387,550,480,287,291,341,353,bengaluru-bulls
SUCCESSFUL TACKLES,1066,148,219,185,109,94,158,153,bengaluru-bulls
UNSUCCESFUL TACKLES,1623,239,331,295,178,197,183,200,bengaluru-bulls
SUCCESSFUL TACKLE %,0.43,0.44,0.42,0.42,0.43,0.34,0.48,0.46,bengaluru-bulls
NO. OF SUPER TACKLES,93,25,12,17,15,7,7,10,bengaluru-bulls
ALL OUTS INFLICTED,149,18,37,28,9,12,25,20,bengaluru-bulls
TOTAL ALL OUT POINTS,298,36,74,56,18,24,50,40,bengaluru-bulls
TOTAL DEFENCE POINTS,1152,171,230,200,124,100,164,163,bengaluru-bulls
