SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,118,16,24,22,14,14,14,14,dabang-delhi
WINS,44,13,12,5,4,1,4,5,dabang-delhi
DRAWS,8,1,2,1,1,1,1,1,dabang-delhi
LOSSES,66,2,10,16,9,12,9,8,dabang-delhi
FINISHING POSITION,0,1,3,6,7,8,6,6,dabang-delhi
TOTAL RAIDS,4991,644,997,973,619,614,585,559,dabang-delhi
SUCCESSFUL RAIDS,1698,276,401,283,162,171,159,246,dabang-delhi
UNSUCCESSFUL RAID,1135,125,224,214,120,162,151,139,dabang-delhi
EMPTY RAIDS,2158,243,372,476,337,281,275,174,dabang-delhi
SUCCESS RAID %,0.42,0.51,0.48,0.35,0.37,0.38,0.37,0.51,dabang-delhi
NO. OF SUPER RAIDS,61,7,13,6,11,5,14,5,dabang-delhi
RAID TOUCH POINTS,1621,247,367,260,170,175,174,228,dabang-delhi
RAID BONUS POINTS,496,82,116,84,56,58,43,57,dabang-delhi
TOTAL RAID POINTS,2117,329,483,344,226,233,217,285,dabang-delhi
TOTAL TACKLES,2775,364,559,497,306,346,333,370,dabang-delhi
SUCCESSFUL TACKLES,960,143,198,159,116,98,122,124,dabang-delhi
UNSUCCESFUL TACKLES,1815,221,361,338,190,248,211,246,dabang-delhi
SUCCESSFUL TACKLE %,0.38,0.41,0.39,0.34,0.44,0.32,0.41,0.36,dabang-delhi
NO. OF SUPER TACKLES,95,7,19,12,20,13,14,10,dabang-delhi
ALL OUTS INFLICTED,133,26,34,18,15,9,13,18,dabang-delhi
TOTAL ALL OUT POINTS,266,52,68,36,30,18,26,36,dabang-delhi
TOTAL DEFENCE POINTS,1048,148,216,169,134,111,136,134,dabang-delhi
