SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,Team-name
MATCHES PLAYED,62,18,22,22,tamil-thalaivas
WINS,14,3,5,6,tamil-thalaivas
DRAWS,9,3,4,2,tamil-thalaivas
LOSSES,39,12,13,14,tamil-thalaivas
FINISHING POSITION,0,12,6,6,tamil-thalaivas
TOTAL RAIDS,2697,750,925,1022,tamil-thalaivas
SUCCESSFUL RAIDS,943,248,344,351,tamil-thalaivas
UNSUCCESSFUL RAID,623,194,222,207,tamil-thalaivas
EMPTY RAIDS,1131,308,359,464,tamil-thalaivas
SUCCESS RAID %,0.42,0.42,0.45,0.4,tamil-thalaivas
NO. OF SUPER RAIDS,16,4,7,5,tamil-thalaivas
RAID TOUCH POINTS,862,239,314,309,tamil-thalaivas
RAID BONUS POINTS,280,74,105,101,tamil-thalaivas
TOTAL RAID POINTS,1142,313,419,410,tamil-thalaivas
TOTAL TACKLES,1415,400,498,517,tamil-thalaivas
SUCCESSFUL TACKLES,502,144,174,184,tamil-thalaivas
UNSUCCESFUL TACKLES,913,256,324,333,tamil-thalaivas
SUCCESSFUL TACKLE %,0.39,0.39,0.38,0.39,tamil-thalaivas
NO. OF SUPER TACKLES,45,13,15,17,tamil-thalaivas
ALL OUTS INFLICTED,52,13,20,19,tamil-thalaivas
TOTAL ALL OUT POINTS,104,26,40,38,tamil-thalaivas
TOTAL DEFENCE POINTS,545,155,189,201,tamil-thalaivas
